,post_text,followers,friends,favorites,statuses,label
1209,Letting Go of the Need for Control via zenhabits | http://t.co/7capicS9BH,2454,1547,57,6155,1
1210,3 Diets That You Think Are Healthy (But Are Actually Ruining Your Skin) via MBG | http://t.co/PHh4sykQ17,2454,1547,57,6155,1
1211,What Should You Look For In A #Massage Therapist? via Massage School | http://t.co/vse6hWzSCL,2454,1547,57,6155,1
1212,"You’ll Never Achieve Work-Life Balance, And That’s Awesome via 99u | http://t.co/UyUxhtZOqC",2454,1547,57,6155,1
1213,Foodborne Illness Wrap-Up: The Role of Your Health and Your Food’s Health via Mark's Daily Apple | http://t.co/9TAllER3o3,2454,1547,57,6155,1
1214,Subtle Ways to Protect Client Confidentiality | http://t.co/jGEMRJ3QhW,2454,1547,57,6155,1
1215,Three Ways to Calm Taper Anxiety via Runner's World | http://t.co/x7KeElDGW4,2454,1547,57,6155,1
1216,The Transformative Power of the Gratitude Habit via zenhabits | http://t.co/1rUCXq8o72,2454,1547,57,6155,1
1217,Lymph Balancing and the Body's Internal Water Environment via #Massage Today |  http://t.co/q1lP8JARnh,2454,1547,57,6155,1
1218,New Study: Yoga Boosts Cancer Survivors’ Well-Being via Yoga Journal | http://t.co/IomrdUSr2g,2454,1547,57,6155,1
1219,The Sketchy New Ingredient In Your Bacon—And How To Avoid It via http://t.co/F04VWWTDNy | http://t.co/DZ4R19Rv9C,2454,1547,57,6155,1
1220,How Do I Establish and Stick to a Routine and Protocol for First Time Clients? via #Massage Business Blueprint | http://t.co/zy2EuJjSqy,2454,1547,57,6155,1
1221,20 Foods To Naturally Increase Your Brain Power via MBG | http://t.co/1297c2aHxT,2454,1547,57,6155,1
1222,A Guide for All of Us: Getting Good at Storytelling &amp; Other Superhuman Social Skills via zenhabits | http://t.co/MM18U2gJZR,2454,1547,57,6155,1
1223,Three Top Tips for Maximizing Your Motivation via Dumb Little Man | http://t.co/f2nHNwICOH,2454,1547,57,6155,1
1224,My Journey With MS: Ann Romney Shares 12 Ways She Learned To Cope In The Public Eye via MBG | http://t.co/pbYG3pZMjb,2454,1547,57,6155,1
1225,My #Massage Therapist Hurt Me via  Body-Mind Conspiracy | http://t.co/7OvTeRBlAj,2454,1547,57,6155,1
1226,"Tactile Sensations Affect Perception, Not Reality via Massage Today | https://t.co/cGWSqPIPIV",2454,1547,57,6155,1
1227,Screw Inbox Zero: Here’s a Better Plan via 99u | https://t.co/te9VjsxZZf,2454,1547,57,6155,1
1228,"Horrifying, and True: A Marketing AAAAAIIIGH! via Sohnen-Moe Associates | http://t.co/1zS5m60Vbx",2454,1547,57,6155,1
1229,Remote Control: A Practical Guide to Running Your Business From Afar via Bench Blog | http://t.co/HuAI7d3O9r,2454,1547,57,6155,1
1230,What's new with ACL via Sports Medicine | http://t.co/DC3RgTH39A,2454,1547,57,6155,1
1231,The Integrative Medicine Puzzle: Putting the Pieces Together via #Massage Today | http://t.co/Fz8NeWr1T0,2454,1547,57,6155,1
1232,Benefits of Ghee: Why You Should Add it to Your Diet via Yoga Journal | http://t.co/0HawWiOEBX,2454,1547,57,6155,1
1233,The Surprising Reasons You Get Puffy Eyes &amp; Dark Circles (And 5 Quick Fixes) via MBG | http://t.co/RyuMGWzoGJ,2454,1547,57,6155,1
1234,4 Easy Moves That Rev Your Metabolism via http://t.co/F04VWWTDNy | http://t.co/ZPx7eu1UwO,2454,1547,57,6155,1
1235,How Do You Shake Off Bad Energy From a Client Who is Negative and Complains? via #Massage Business Blueprint | http://t.co/LywwsCRxTe,2454,1547,57,6155,1
1236,The Massage You Could Be Giving Yourself Every Day ... But Aren't via MBG | http://t.co/3xAozv9lqk,2454,1547,57,6155,1
1237,Subtle Ways to Protect Client Confidentiality | http://t.co/xKjQmgMzmZ,2454,1547,57,6155,1
1238,Scary New Research Suggests a Cow Virus May Cause Human Breast Cancer via Women's Health Mag | http://t.co/fKFx3bUKqU,2454,1547,57,6155,1
1239,A Model For Teaching Our Kids Accountability via http://t.co/BvrJQTinxa | http://t.co/RhpSikxcwV,2454,1547,57,6155,1
1240,The Integrative Medicine Puzzle: Putting the Pieces Together via #Massage Today | http://t.co/RZE6ICQUQm,2454,1547,57,6155,1
1241,How to Deal When You’re Disappointed In Yourself via 99u | http://t.co/fxWQpyrV04,2454,1547,57,6155,1
1242,11 Insights on Finding a Writing Voice Readers Take Seriously [SlideShare] via CopyBlogger | http://t.co/2scO2QmWIM,2454,1547,57,6155,1
1243,10 Things You Shouldn’t Do If You’re Trying to Build Muscle via Mark's Daily Apple | http://t.co/2xzEuSNh5p,2454,1547,57,6155,1
1244,4 DIY Household Cleaners Made With Ingredients You Already Have via MBG | http://t.co/MlchB4rUad,2454,1547,57,6155,1
1245,How Much Should I Talk During a #Massage? [Podcast] via Massage Business Blueprint | http://t.co/snfRt9LmII,2454,1547,57,6155,1
1246,10 Things All Girls Who Lift Do but Will Never Admit To via Women's Health | http://t.co/hR6J2V5ulu,2454,1547,57,6155,1
1247,The Truth About Your Uncertain Life Path &amp; Purpose via zenhabits | http://t.co/quSzs04s0V,2454,1547,57,6155,1
1248,6 Restorative Yoga Poses That Will Make You Feel Amazing via http://t.co/F04VWWTDNy | http://t.co/gdKdmsrC6O,2454,1547,57,6155,1
1249,Rob Forbes: How I Survived My Worst Failure via 99u | http://t.co/o4srXchwbU,2454,1547,57,6155,1
1250,How to Supercharge Your Afternoon With a Napuccino (aka a Coffee Nap) via Dumb Little Man - Tips for Life  | http://t.co/L8Of26ZKCY,2454,1547,57,6155,1
1251,"The best #massages to speed recovery, boost immune strength, and relax via Men's Fitness | http://t.co/e6KP9KODL3",2454,1547,57,6155,1
1252,What I Wish More People Understood About Losing A Loved One To Suicide via MBG | http://t.co/hFO1pUhqzr,2454,1547,57,6155,1
1253,Website must-have: a FAQ page via Sohnen-Moe Associates | http://t.co/vw52ACGvzs,2454,1547,57,6155,1
1254,Being Prepared: tools to have handy when you're a #massage therapist | http://t.co/1wmkGO9b8M,2454,1547,57,6155,1
1255,How This Gibberish Song Can Help You Succeed via Dumb Little Man | http://t.co/m2zq77juMe,2454,1547,57,6155,1
1256,The Truth About Your Uncertain Life Path &amp; Purpose via zenhabits | http://t.co/KPPUWKMtng,2454,1547,57,6155,1
1257,What You Need to Know About Foodborne Illness – Part 2: Kitchen Strategies via Mark's Daily Apple | http://t.co/LKDcp15XDo,2454,1547,57,6155,1
1258,"I Gave Up Gluten, Alcohol, Sugar, Coffee, Meat &amp; More For 21 Days. Here's What I Learned via MBG | http://t.co/zwBgoKQ2HP",2454,1547,57,6155,1
1259,"Drugs, Brains, and Behavior: The Science of Addiction via NIH | http://t.co/AvZ0zuC1OC",2454,1547,57,6155,1
1260,Of Hula Hooping and the Dreaded Self-Care Thing via Tracy Walton | http://t.co/7W3nKCUtpK,2454,1547,57,6155,1
1261,Paying Attention via #Massage School | http://t.co/VcsRmDTJtF,2454,1547,57,6155,1
1262,The surprising benefit of eating organic beef you never knew about via Fox News | http://t.co/4vlvxca0EY,2454,1547,57,6155,1
1263,From Hungry and Getting Nowhere to Satisfied and Strong! | Mark’s Daily Apple http://t.co/Cxbe5o8ERw,2454,1547,57,6155,1
1264,6 Signs You Could Have Body Dysmorphic Disorder - via MBG http://t.co/eTAU2fbGYV,2454,1547,57,6155,1
1265,Called” to Peds | Lighthold #Massage Therapy http://t.co/STd3FBNTjH,2454,1547,57,6155,1
1266,The Text Neck Explosion—and Other Injuries of the Digital Age - via #MASSAGE Magazine http://t.co/Fpp4MjE5OC,2454,1547,57,6155,1
1267,Paralyzed by Indecision? Get Unstuck With This One Weird Trick | via IttyBiz http://t.co/DYUeuLhwlq,2454,1547,57,6155,1
1268,6 Weird Signs You’re Not Getting Enough Iron | via Prevention http://t.co/WvLyfCfPFc,2454,1547,57,6155,1
1269,How Bodywork Can Transform Your Practice via Yoga Journal | http://t.co/1ALmMpXHiE,2454,1547,57,6155,1
1270,"Why Haters Hate, and How to Deal with Them in Business via Bench Blog | http://t.co/P0Bu5Uu7SO",2454,1547,57,6155,1
1271,The Best Way to Warm Up Your Muscles (Video!) via Fitbit | http://t.co/65kAn9bw8D,2454,1547,57,6155,1
1272,The Integrative Medicine Puzzle: Putting the Pieces Together via #Massage Today | http://t.co/NIxykDbYYS,2454,1547,57,6155,1
1273,"I Was So ""Healthy"" It Hurt My Fertility: My Journey With Hypothalamic Amenorrhea via MBG | http://t.co/5KgVByfi5d",2454,1547,57,6155,1
1274,8 Causes Of Anxiety &amp; Depression That We Often Overlook via MBG | http://t.co/Nkuq0g3uWN,2454,1547,57,6155,1
1275,I’m Returning to Single-Tasking via zenhabits | http://t.co/6YioNXjgzP,2454,1547,57,6155,1
1276,5 Reasons Runners Need a Good Breakfast via Runner's World | http://t.co/vRcDp6rkkE,2454,1547,57,6155,1
1277,How Do I Stop Selling My Soul With Holiday Discounts? [Podcast] via #Massage Business Blueprint | http://t.co/oAVdcbCWPJ,2454,1547,57,6155,1
1278,Mindful Parenting for ADHD via http://t.co/BvrJQTinxa | http://t.co/IebExN9FX7,2454,1547,57,6155,1
1279,Freedom First: How to Build Your Business to Suit Your Lifestyle via Bench Blog | http://t.co/wODBtypox9,2454,1547,57,6155,1
1280,6 Health Issues Migraines Increase Your Risk Of via http://t.co/F04VWWTDNy | http://t.co/fK692UUcFO,2454,1547,57,6155,1
1281,"Learn from the Greats: Heads Up, They Are Everywhere via Sohen-Moe Associates | http://t.co/wOE7rbOazZ",2454,1547,57,6155,1
1282,The Daybreak: Make an Important Goal Happen with a Morning Habit via zenhabits | http://t.co/ogmYL9uiaP,2454,1547,57,6155,1
1283,What You Need to Know About Foodborne Illness: Part 1 via Mark's Daily Apple | http://t.co/MXqULAIfvS,2454,1547,57,6155,1
1284,The 5 Ways Massage Changed My Life via Earthlite | http://t.co/6ehxgyKbY1,2454,1547,57,6155,1
1285,Successful Entrepreneurs Do These 8 Things Every Morning via SquareUp | http://t.co/hutHUV4wfm,2454,1547,57,6155,1
1286,"How To Write an ""About Me"" Page That Gets You Hired via 99u | http://t.co/hmcsiJkAr5",2454,1547,57,6155,1
1287,Fight Inflammation With These 4 Foods via MBG | http://t.co/NJHeVUs0J2,2454,1547,57,6155,1
1288,How to Draw Pecs – Anatomy via Proko | http://t.co/3uRO3eaU8h,2454,1547,57,6155,1
1289,#Massage Therapy for Children with Autism via Liddle Kidz | http://t.co/dfswO41fx5,2454,1547,57,6155,1
1290,The Gentle Art of Trying Something &amp; Sucking at It via zenhabits | http://t.co/WUOF7smyen,2454,1547,57,6155,1
1291,How To Reduce Food Waste + Save $$$ (From The Owner Of A Recycling Company) via MBG | http://t.co/94JR9H30ZW,2454,1547,57,6155,1
1292,20 Brutally Honest Things Women Turning 40 Want All Women In Their 30s To Know via LifeHack | http://t.co/Wb5LaqZBkk,2454,1547,57,6155,1
1293,How Do I Stop Selling My Soul With Holiday Discounts? [Podcast] via #Massage Business Blueprint | http://t.co/xXjEzvAyb0,2454,1547,57,6155,1
1294,7 Invigorating Yoga Poses to Sweat Your Asana Off via MBG | http://t.co/dDW6e04HiZ,2454,1547,57,6155,1
1295,The Integrative Medicine Puzzle: Putting the Pieces Together via #Massage Today | http://t.co/lc1YeZgPnh,2454,1547,57,6155,1
1296,15 Best Paleo Slow Cooker Recipes via Rubies and Radishes | http://t.co/KO75JCkc1j,2454,1547,57,6155,1
1297,This tea has 10 times more antioxidants than green tea via Fox News | http://t.co/mDFDv06Qzg,2454,1547,57,6155,1
1298,25 Reasons to Get a #Massage via AMTA | http://t.co/z6Y3Q1c2we,2454,1547,57,6155,1
1299,Major medicine discovery changes everything we thought we knew about the brain via BGR | http://t.co/HasAahBGCB,2454,1547,57,6155,1
1300,The Gentle Art of Trying Something &amp; Sucking at It via zenhabits | http://t.co/g0bP0MV8MZ,2454,1547,57,6155,1
1301,20 Things A Pill Can't Do For You: A Doctor Explains via MBG | http://t.co/MsFEf8jo8D,2454,1547,57,6155,1
1302,Freedom First: How to Build Your Business to Suit Your Lifestyle via Bench Blog | http://t.co/ic9w37eonW,2454,1547,57,6155,1
1303,5 Unicorns Of Refreshingly Unique Marketing That Will Make You Stand Out via CoSchedule | http://t.co/XyNhSFiNqk,2454,1547,57,6155,1
1304,4 Tips for Smart Athletes Who Over Analyze in Competition | Sports Psychology Blog for Athletes and Coaches http://t.co/Q42qfDmA9K,2454,1547,57,6155,1
1305,Students: Throw yourself into #massage! via Massage School | http://t.co/lLRAvm8o9Y,2454,1547,57,6155,1
1306,This Is What A Perfect Day Of Clean Eating Looks Like via Prevention | http://t.co/LHhknR8Fur,2454,1547,57,6155,1
1307,Strengthen Your Spine via ABMP | http://t.co/dShKuxk9ZB,2454,1547,57,6155,1
1308,16 Ways to Use Apple Cider Vinegar Every Day. via elephant journal | http://t.co/LikviEYcte,2454,1547,57,6155,1
1309,10 Commandments to Help You Own Your Life.  | via elephant journal http://t.co/3rcT0rF2qp,2454,1547,57,6155,1
1310,16 Healthy (and Yummy) Prerun Meals and Snacks | via Runner’s World http://t.co/gE7EpUMbZj,2454,1547,57,6155,1
1311,"Dear Mark: Ketosis and Cancer, Probiotic Dosing Patterns | via Mark’s Daily Apple http://t.co/WY2zRWaF61",2454,1547,57,6155,1
1312,6 Tips For Teaching #Yoga To Beginners | via Yoga International http://t.co/7UfKdEsCra,2454,1547,57,6155,1
1313,Sports Medicine in Review - What’s new with ACL  | via Sports Medicine http://t.co/LFN2LHutua,2454,1547,57,6155,1
1314,How Not to Do It All : via zen habits http://t.co/bqm7L8Yw7o,2454,1547,57,6155,1
1315,How to be a Parent &amp; Run a #Massage Business | Massage Business Blueprint  http://t.co/mNNaQ52Duv,2454,1547,57,6155,1
1316,Think You’re Too Type-A To Meditate? Think Again - via http://t.co/99qv4Vsa00 | http://t.co/99qv4Vsa00,2454,1547,57,6155,1
1317,"Gathering Client Feedback, Part 2 | via Sohnen-Moe Associates Blog http://t.co/fuvLzaoWkk",2454,1547,57,6155,1
1318,#Yoga Teachers: How to Grow Your Classes &amp; Love Your Teaching. via elephant journal | http://t.co/lbcMdWe1uZ,2454,1547,57,6155,1
1319,25 Blog Post Ideas for your #Massage Business Website via Massage Business Blueprint | http://t.co/5O0XgXJv0g,2454,1547,57,6155,1
1320,"Got Goals? Your Mission, Should You Choose To Accept It… via Itty Biz | http://t.co/Vb5OpPeYrp",2454,1547,57,6155,1
1321,8 Little Rules I Live By In The Kitchen: A Healthy Chef Explains via MBG | http://t.co/e50TaJeU6G,2454,1547,57,6155,1
1322,"So, you’ve got a successful #massage business. Why so anxious? via The Young Thumbs | http://t.co/07MJLymn1D",2454,1547,57,6155,1
1323,A Guide to Dealing with Frustration &amp; Disappointment in Yourself via zenhabits | http://t.co/n16Kl7bVYk,2454,1547,57,6155,1
1324,9 Life-Changing Tricks to Make You A Better Runner via Women's Health | http://t.co/4EXqvAFoYO,2454,1547,57,6155,1
1325,"@CCforDD Much respect to you mate! I was diagnosed with depression last year, still don't know how or why! Charity work means I'm winning 😉",2377,738,3189,5624,1
1326,@caron_russell @Official_NCFC @WaterlooRoad @MrJoeSlater Tickets are on sale by calling 07855 538992. 😉,2377,738,3189,5624,1
1329,"It's a pleasure to announce @WaterlooRoad actor @MrJoeSlater to our event, Day &amp; Night @Official_NCFC. 
#waterlooroad http://t.co/Vnvb9YrS9P",2377,738,3189,5624,1
1330,@richardcokayne @RichardMylan @SuzanneShaw - It'll be a day to remember mate! 😉,2377,738,3189,5624,1
1332,"@RichardMylan - Many thanks to you too for your help and support, very much appreciated as always. Roll on May 9th! 😉",2377,738,3189,5624,1
1333,@SuzanneShaw and @SamJGreenfield - Many thanks for your support and we look forward to meeting you at @Official_NCFC in May! ~ John ;-),2377,738,3189,5624,1
1334,Absolutely delighted to announce that @SuzanneShaw &amp; @SamJGreenfield will be joining us @Official_NCFC in May #autism http://t.co/C0e3h0ocgi,2377,738,3189,5624,1
1336,@ollyofficial Are you able to play in our charity match @Official_NCFC in May for #Autism? http://t.co/0w0MI6Kolg,2377,738,3189,5624,1
1337,PLEASE RT: @carlsberg @Nike @iProSport @Bidvest3663 @PayGroup @JDsportsfashion @catkinson80 @RichardMylan @Morrisons http://t.co/TNgNuyM1Z9,2377,738,3189,5624,1
1338,PLEASE RT: @Mhousebrewery @Sentequk @fgclothingltd @jonblower @Minchinologist @high5itapp @Brano1979 @dcfc_flagman http://t.co/hQiaUvc8ud,2377,738,3189,5624,1
1339,PLEASE RT: @Official_NCFC @ @barks5 @TurveyWright @SeanRyanFox @Vaughanyboy @Albino_dave @garethicke @russhoult http://t.co/gpWb25vN3o,2377,738,3189,5624,1
1342,PLEASE RT: @HappyNottm @Notts_TV @NottinghamHub @NottinghamRocks @MyNottingham @CharityEventsUK @WestBridgfdWire http://t.co/uS23z1Akm7,2377,738,3189,5624,1
1343,@kev_kevmurphy63 @Official_NCFC Thanks mate! 😉,2377,738,3189,5624,1
1344,"@Spencerhigh5 @MCFC Do you know what, that was my first thought but then thought it would be a current player. 😉",2377,738,3189,5624,1
1345,"@CCforDD Would you do us the honour of coming to our charity match @Official_NCFC in May, either 2 play or as a guest http://t.co/pI8As9wTu7",2377,738,3189,5624,1
1346,@SeanRyanFox Fantastic mate and well deserved! @barks5 &amp; @s_bfoundation have landed on their feet! 😉,2377,738,3189,5624,1
1347,@richardcokayne @Official_NCFC I don't know who's more excited mate. Could be an emotional one! 😉,2377,738,3189,5624,1
1348,@damianirvine It just suddenly dawned on me mate. We were talking about Saturday and it made me realize I never thought I'd see this day! 😉,2377,738,3189,5624,1
1349,I never thought I'd get the chance to take Toby to a football match. Thanks to @Official_NCFC it's now happening! 👌 http://t.co/tgn3CGMmUC,2377,738,3189,5624,1
1352,@SpectrumMumUK Anytime! 😉,2377,738,3189,5624,1
1354,@GemimaRoo @rysieryanbald What a man - and thank you for doing this for Awareness For Autism! 😉,2377,738,3189,5624,1
1357,@Official_NCFC Fantastic piece - thank you! I'm sure @laurenlovejoy6 will agree! 😉,2377,738,3189,5624,1
1359,"Great to see @Official_NCFC marking #autismawareness - @bbcemt @BBCNottingham @Notts_TV @NottinghamPost #autism 
http://t.co/9T07sRJWgy",2377,738,3189,5624,1
1360,"Top marks to all @Official_NCFC 
http://t.co/9T07sRJWgy
#autism #Aspergers @laurenlovejoy6 ##autismawareness #autismacceptance",2377,738,3189,5624,1
1361,@Notts_TV #Notts singer @laurenlovejoy6 is performing pitch side our son Toby who has #autism is mascot. Top marks to @Official_NCFC . (2/2),2377,738,3189,5624,1
1362,"@Notts_TV - Autism Awareness week starts fri 27th March. On Saturday 28th, @Official_NCFC are marking this occasion against Scunthorpe (1/2)",2377,738,3189,5624,1
1365,@damianirvine @Official_NCFC @SUFCOfficial He can't wait mate. Talking non-stop about Alan Smith + Mr and Mrs Magpie! 😉,2377,738,3189,5624,1
1366,Huge thanks to @Official_NCFC for acknowledging #AutismAwarenessWeek with us; a tremendous thing for them to do! #autism #autismawareness,2377,738,3189,5624,1
1367,(2/2) Also @Official_NCFC is #Notts singer + new @Autism Ambassador @laurenlovejoy6 who'll be performing pitch side! http://t.co/Zb7WkIdm67,2377,738,3189,5624,1
1368,(1/2) To mark the start of #autismawareness week @Official_NCFC have invited my son Toby to be mascot v @SUFCOfficial http://t.co/YVmSCWhqj1,2377,738,3189,5624,1
1369,"@damianirvine - I'm now sat working away with @INXS The Very best on lol.....
https://t.co/MrkzzvgipZ",2377,738,3189,5624,1
1370,"@SpectrumMumUK Anytime, anything to help, just shout! ;-)",2377,738,3189,5624,1
1375,@mummyworgan @AutismDNews Absolutely brilliant- thank you so much! 😉,2377,738,3189,5624,1
1379,.....and one for the #autism mums! http://t.co/Y9hFRhvn3D,2377,738,3189,5624,1
1380,@mrhunsaker You're welcome. We're  doing something similar at @afa_gbautism - very best of luck to you! 😉,2377,738,3189,5624,1
1382,Saturday 9th May 2015 @Official_NCFC - Tickets ON SALE now! #autism #autismawareness #celebs #Legends #Charity http://t.co/roX1yFgJ6z,2377,738,3189,5624,1
1383,"#ColourTheWorld for #WorldAutismAwarenessDay - April 2nd! 
#AutismAwareness #autismparent #autism http://t.co/9pYxSTXft0",2377,738,3189,5624,1
1384,"@Official_NCFC - Toby's looking forward to meeting his new favourite player on Saturday! #NCFCvSUFC 
#AutismAwareness http://t.co/aC9y2cO9Qb",2377,738,3189,5624,1
1385,@kev_kevmurphy63 Absolutely mate. ;-),2377,738,3189,5624,1
1386,"One for the #autism Dads out there! 😉

#autismacceptance #autismawareness #awarenessforautism http://t.co/RUL4oTqAL8",2377,738,3189,5624,1
1388,@MarkCharnock_ How you fixed for a kick-a-bout in our charity match @Official_NCFC on May 9th for #autism? http://t.co/bG8MtJXhrs,2377,738,3189,5624,1
1389,"@wakeuppromotion @ChrisHelme @TheDonkeyLeic @musichael @Quad79 @DICPUK @ZanderToxsikk Amazing artist, amazing man! ;-)",2377,738,3189,5624,1
1390,@Hayley_Shelton @garethicke id be taking that further mate if they were his words. Absolutely shocking!,2377,738,3189,5624,1
1392,@alanhalsall Do you fancy putting your boots on for us @Official_NCFC on May 9th for #autism? http://t.co/A12lUHdvhy,2377,738,3189,5624,1
1393,@tomlister Do you fancy putting your boots on for us @Official_NCFC on May 9th for #autism? http://t.co/fZbrlTQzCv,2377,738,3189,5624,1
1394,@DannyBMiller Do you fancy putting your boots on for us @Official_NCFC on May 9th for #autism? http://t.co/4PPtY3gs6e,2377,738,3189,5624,1
1395,@MikeParrActor Do you fancy putting your boots on for us @Official_NCFC on May 9th for #autism? http://t.co/GhcFnhM7gA,2377,738,3189,5624,1
1396,@EmmettScanlan Do you fancy putting your boots on for us @Official_NCFC on May 9th for #autism? http://t.co/KkrPVRC5iF,2377,738,3189,5624,1
1397,@ashoztd Do you fancy putting your boots on for us @Official_NCFC on May 9th for #autism? http://t.co/CdzSy1Vuao,2377,738,3189,5624,1
1398,@jamielomas1 Do you fancy putting your boots on for us @Official_NCFC on May 9th for #autism? http://t.co/IC09OnnLWx,2377,738,3189,5624,1
1399,@RalfLittle Do you fancy putting your boots on for us @Official_NCFC on May 9th for #autism? http://t.co/u5BpYRQzjJ,2377,738,3189,5624,1
1400,@Mellor76 Do you fancy putting your boots on for us @Official_NCFC on May 9th for #autism? http://t.co/ltv5uvA3KH,2377,738,3189,5624,1
1401,@AnthonyQuinny Do you fancy putting your boots on for us @Official_NCFC on May 9th for #autism? http://t.co/nSMcfjP5Uv,2377,738,3189,5624,1
1402,@HordleyJeff Do you fancy putting your boots on for us @Official_NCFC on May 9th for #autism? http://t.co/pQ9L5vJu5F,2377,738,3189,5624,1
1403,@miketindall13 Do you fancy putting your boots on for us @Official_NCFC on May 9th for #autism? http://t.co/klSOo8sbHE,2377,738,3189,5624,1
1404,@LewisMoody7 Do you fancy putting your boots on for us @Official_NCFC on May 9th for #autism? http://t.co/beQ0d4wlDC,2377,738,3189,5624,1
1405,@matt9dawson Do you fancy putting your boots on for us @Official_NCFC on May 9th for #autism? http://t.co/qgfjUqbrnw,2377,738,3189,5624,1
1406,@RealRomfordPele Do you fancy putting your boots on for us @Official_NCFC on May 9th for #autism? http://t.co/742G4ZKhiD,2377,738,3189,5624,1
1407,@PatrickKluivert Do you fancy putting your boots on for us @Official_NCFC on May 9th for #autism? http://t.co/sj7hr7bBri,2377,738,3189,5624,1
1408,@piresrobert7 Do you fancy putting your boots on for us @Official_NCFC on May 9th for #autism? http://t.co/YsvXvlD7hK,2377,738,3189,5624,1
1409,@PaulMerse Do you fancy putting your boots on for us @Official_NCFC on May 9th? Would be great to have you involved! http://t.co/3qzt6oQxI5,2377,738,3189,5624,1
1412,"Ran 6.5k today...,,not bad for a big lad. Derby 10k only 4 weeks off! Please sponsor me via below link:

http://t.co/sYvcXIbBCw
#autism",2377,738,3189,5624,1
1413,A great day of entertainment with @RichardMylan @Brano1979 @russhoult @garethicke @themodfathers and more....#autism http://t.co/zrevWcAgcY,2377,738,3189,5624,1
1414,"@jonblower tried to call you just now matey, will try again in a bit! Exciting times with this footie event now! ;-)",2377,738,3189,5624,1
1415,@Brano1979 @damianirvine @richardcokayne Haha all 3 of you! 😉,2377,738,3189,5624,1
1416,@richardcokayne @damianirvine @Brano1979 - just thought I'd see if you #Notts boys like the shirts.....so far! ;-) http://t.co/BhCF2nNaWB,2377,738,3189,5624,1
1417,@RichardMylan - the kit is taking shape now for our match @Official_NCFC in May! http://t.co/kIW5eGaQGc,2377,738,3189,5624,1
1418,Football shirts taking shape courtesy of @fgclothingltd - logo designed by the brilliant @Haus_of_Fox ! #autism http://t.co/QCBN7Ojvup,2377,738,3189,5624,1
1419,@mr_tickle117 @HappyNottm Amazing! 👌,2377,738,3189,5624,1
1421,@AmberValleyInfo @MajComm_Sarah @RossCopywrite @EleanorBond92 @nikkybelper @AngelEdenUK thanks - same to you guys! 😉,2377,738,3189,5624,1
1423,A very Happy Birthday to a special young man; Eben! One of our @Official_NCFC mascots next. #autism #autismawareness http://t.co/fzZzXOZCnd,2377,738,3189,5624,1
1424,@mr_tickle117 @HappyNottm Tickets for day &amp; night are on sale now mate. How's the kit coming along? 😉,2377,738,3189,5624,1
1425,@THESTEVIRITCHIE Would you be interested in playing on our charity match at @Official_NCFC on May 9th for #autism. http://t.co/yNwyHmX8Gl,2377,738,3189,5624,1
1426,A sample of what's to come from our Man of the Match sponsors @high5itapp - for this years event @Official_NCFC http://t.co/GM8lTZMy5N,2377,738,3189,5624,1
1427,@SeanRyanFox @barks5 Absolutely FANTASTIC news! Congrats Shaun! 😉,2377,738,3189,5624,1
1430,"I'm doing the Derby 10k on April 9th - if anyone would like to sponsor me, please click the link:

http://t.co/sYvcXIbBCw

#autism",2377,738,3189,5624,1
1433,"Don't forget, tickets for our charity football event can also be purchased from the @Official_NCFC club shop! #notts http://t.co/vrd9AWCNFS",2377,738,3189,5624,1
1439,@Brano1979 @Official_NCFC Couldn't resist the pic with the Argyle shirt either mate! ;-) #pafc,2377,738,3189,5624,1
1440,@StacePrince @RichardMylan Mr Gareth Icke but unfortunately he's based in Derby nowadays so wouldn't be leaving from IOW! ;-),2377,738,3189,5624,1
1441,@StacePrince @RichardMylan Mr Gareth Icke but unfortunately he's based in Derby nowadays so wouldn't be leaving from IOW! ;-),2377,738,3189,5624,1
1443,@aquariushi @Sentequk @fgclothingltd @high5itapp - How's this for starters? #autism #Charity #football #Match2015 http://t.co/oEStyAuJRQ,2377,738,3189,5624,1
1444,@StacePrince @RichardMylan Gutted for you. One of our After Party acts is from IOW too! ;-),2377,738,3189,5624,1
1445,@jacquelinemaire @RichardMylan Sorry to hear that! ;-(,2377,738,3189,5624,1
1446,@toni_willets I've DM'd you. ;-),2377,738,3189,5624,1
1447,Chuffed to have @Official_NCFC Chief Scout @Brano1979 making his debut for us in this years event at Meadow Lane! http://t.co/0B6mlMsYbO,2377,738,3189,5624,1
1448,Its a pleasure to once again announce @russhoult as one of our ex-pro's for our Charity Football Event @Official_NCFC http://t.co/hUJ3QJIt6V,2377,738,3189,5624,1
1449,@jacquelinemaire @RichardMylan it's in Nottingham at @Official_NCFC - as is the 'After Party'.,2377,738,3189,5624,1
1450,Absolutely delighted to announce @RichardMylan as a Special Guest &amp; Player in our event @Official_NCFC in May! http://t.co/mHmiM17WoM,2377,738,3189,5624,1
1451,@CieronKeane @Official_NCFC - couldn't  have put that better mate! 👌,2377,738,3189,5624,1
1452,Coffee &amp; Chat tomorrow with special guest 'Big D' of @noizelevelcriti who'll be coming to do a cheque presentation! http://t.co/0k4nSBcy9D,2377,738,3189,5624,1
1453,@ronnieo147 would you be interested in playing in our charity football match @Official_NCFC in May? http://t.co/POUpNLR9Mp,2377,738,3189,5624,1
